Director,Nombre,Nota media,Total de películas,Productora habitual,Beneficio total,Mejor filme,Nota
![](NA),John Whitesell,4.8,3,New Regency Productions,171831531,Malibu's Most Wanted,5.2
![](NA),Tom Vaughan,6.4,3,BBC Films,170246249,Starter for 10,6.7
![](https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Harold_Ramis_Oct_2009.jpg/220px-Harold_Ramis_Oct_2009.jpg),Harold Ramis,6.266666666666667,6,Columbia Pictures,169178964,Groundhog Day,8
![](https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Joe_Carnahan_%284920110734%29_%28cropped%29.jpg/220px-Joe_Carnahan_%284920110734%29_%28cropped%29.jpg),Joe Carnahan,6.825,4,Open Road Films (II),168387117,Narc,7.1
![](https://upload.wikimedia.org/wikipedia/commons/8/8a/Brian_Helgeland%2C_April_2%2C_2013_%28cropped%29.jpg),Brian Helgeland,6.72,5,Columbia Pictures,168118095,42,7.5
![](NA),Hugh Wilson,6.4,3,Channel Films,167810527,Blast from the Past,6.6
![](https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/ChowKL1_%28cropped%29.JPG/220px-ChowKL1_%28cropped%29.JPG),Stephen Chow,7.133333333333334,3,Columbia Pictures Film Production Asia,167189118,Kung Fu Hustle,7.7
![](NA),Ronny Yu,6.25,4,Alliance Atlantis Communications,166275739,Fearless,7.6
![](https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Andrew_Niccol_by_Gage_Skidmore.jpg/220px-Andrew_Niccol_by_Gage_Skidmore.jpg),Andrew Niccol,6.82,5,Chockstone Pictures,166022323,Gattaca,7.8
![](https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Coen_brothers_Cannes_2015_2_%28CROPPED%29.jpg/220px-Coen_brothers_Cannes_2015_2_%28CROPPED%29.jpg),Joel Coen,7.5,9,Circle Films,165180437,Fargo,8.1
![](NA),Michael Spierig,6.3,4,CBS Films,164732113,Predestination,7.5
![](NA),Michael Ritchie,6.275,4,Universal Pictures,164167329,Fletch,6.9
![](https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Jon_Avnet.jpg/220px-Jon_Avnet.jpg),Jon Avnet,6.483333333333333,6,Millennium Films,162587267,Fried Green Tomatoes,7.7
![](https://upload.wikimedia.org/wikipedia/commons/thumb/8/86/Jose_Padilha_by_Gage_Skidmore.jpg/220px-Jose_Padilha_by_Gage_Skidmore.jpg),José Padilha,6.633333333333333,3,Metro-Goldwyn-Mayer (MGM),162219545,Elite Squad,8
![](NA),Martin Brest,6.3,4,Universal Pictures,160915168,Scent of a Woman,8
![](NA),Rob Bowman,5.966666666666667,3,Twentieth Century Fox,159322252,The X Files,7
